,LGROUP,MGROUP,SGROUP,DGROUP,LGROUP_NAME,MGROUP_NAME,SGROUP_NAME,DGROUP_NAME,LMSD_CODE
0,70,2,1,2,식품,신선식품/가공식품,간편/즉석식품,기타 간편/즉석식품,70020102
1,70,2,1,3,식품,신선식품/가공식품,간편/즉석식품,덮밥/덮밥소스,70020103
2,70,2,1,4,식품,신선식품/가공식품,간편/즉석식품,만두/딤섬,70020104
3,70,2,1,5,식품,신선식품/가공식품,간편/즉석식품,분말짜장/카레,70020105
4,70,2,1,6,식품,신선식품/가공식품,간편/즉석식품,샐러드,70020106
5,70,2,1,7,식품,신선식품/가공식품,간편/즉석식품,스프,70020107
6,70,2,1,8,식품,신선식품/가공식품,간편/즉석식품,시리얼,70020108
7,70,2,1,9,식품,신선식품/가공식품,간편/즉석식품,죽,70020109
8,70,2,1,10,식품,신선식품/가공식품,간편/즉석식품,즉석국,70020110
9,70,2,1,11,식품,신선식품/가공식품,간편/즉석식품,즉석밥,70020111
10,70,2,1,12,식품,신선식품/가공식품,간편/즉석식품,즉석짜장/카레,70020112
11,70,2,1,13,식품,신선식품/가공식품,간편/즉석식품,피자/햄버거,70020113
12,70,2,1,14,식품,신선식품/가공식품,간편/즉석식품,핫도그,70020114
13,70,2,2,1,식품,신선식품/가공식품,건어물/김/해초류,건새우,70020201
14,70,2,2,2,식품,신선식품/가공식품,건어물/김/해초류,건어물 세트,70020202
15,70,2,2,3,식품,신선식품/가공식품,건어물/김/해초류,과메기,70020203
16,70,2,2,4,식품,신선식품/가공식품,건어물/김/해초류,기타 건어물,70020204
17,70,2,2,5,식품,신선식품/가공식품,건어물/김/해초류,기타 해초류,70020205
18,70,2,2,6,식품,신선식품/가공식품,건어물/김/해초류,김,70020206
19,70,2,2,7,식품,신선식품/가공식품,건어물/김/해초류,노가리,70020207
20,70,2,2,8,식품,신선식품/가공식품,건어물/김/해초류,다시마,70020208
21,70,2,2,9,식품,신선식품/가공식품,건어물/김/해초류,마른오징어,70020209
22,70,2,2,10,식품,신선식품/가공식품,건어물/김/해초류,매생이,70020210
23,70,2,2,11,식품,신선식품/가공식품,건어물/김/해초류,멸치,70020211
24,70,2,2,12,식품,신선식품/가공식품,건어물/김/해초류,명태,70020212
25,70,2,2,13,식품,신선식품/가공식품,건어물/김/해초류,미역,70020213
26,70,2,2,14,식품,신선식품/가공식품,건어물/김/해초류,북어,70020214
27,70,2,2,15,식품,신선식품/가공식품,건어물/김/해초류,오징어채/진미채,70020215
28,70,2,2,16,식품,신선식품/가공식품,건어물/김/해초류,쥐포,70020216
29,70,2,2,17,식품,신선식품/가공식품,건어물/김/해초류,한치,70020217
30,70,2,2,18,식품,신선식품/가공식품,건어물/김/해초류,황태,70020218
31,70,2,3,1,식품,신선식품/가공식품,견과,견과 혼합세트,70020301
32,70,2,3,2,식품,신선식품/가공식품,견과,기타 견과,70020302
33,70,2,3,3,식품,신선식품/가공식품,견과,땅콩,70020303
34,70,2,3,4,식품,신선식품/가공식품,견과,마카다미아,70020304
35,70,2,3,5,식품,신선식품/가공식품,견과,밤,70020305
36,70,2,3,6,식품,신선식품/가공식품,견과,아몬드,70020306
37,70,2,3,7,식품,신선식품/가공식품,견과,은행,70020307
38,70,2,3,8,식품,신선식품/가공식품,견과,잣,70020308
39,70,2,3,9,식품,신선식품/가공식품,견과,캐슈넛,70020309
40,70,2,3,10,식품,신선식품/가공식품,견과,피스타치오,70020310
41,70,2,3,11,식품,신선식품/가공식품,견과,피칸,70020311
42,70,2,3,12,식품,신선식품/가공식품,견과,해바라기씨,70020312
43,70,2,3,13,식품,신선식품/가공식품,견과,호두,70020313
44,70,2,3,14,식품,신선식품/가공식품,견과,호박씨,70020314
45,70,2,4,1,식품,신선식품/가공식품,과일/건과,건과 혼합세트,70020401
46,70,2,4,2,식품,신선식품/가공식품,과일/건과,건망고,70020402
47,70,2,4,3,식품,신선식품/가공식품,과일/건과,건바나나,70020403
48,70,2,4,4,식품,신선식품/가공식품,과일/건과,건자두,70020404
49,70,2,4,5,식품,신선식품/가공식품,과일/건과,건포도,70020405
50,70,2,4,6,식품,신선식품/가공식품,과일/건과,곶감,70020406
51,70,2,4,7,식품,신선식품/가공식품,과일/건과,과일 혼합세트,70020407
52,70,2,4,8,식품,신선식품/가공식품,과일/건과,귤,70020408
53,70,2,4,9,식품,신선식품/가공식품,과일/건과,기타 건과/말린과일,70020409
54,70,2,4,10,식품,신선식품/가공식품,과일/건과,기타 과일,70020410
55,70,2,4,11,식품,신선식품/가공식품,과일/건과,사과/배,70020411
56,70,2,4,12,식품,신선식품/가공식품,과일/건과,귤/오렌지/한라봉,70020412
57,70,2,4,13,식품,신선식품/가공식품,과일/건과,포도,70020413
58,70,2,4,14,식품,신선식품/가공식품,과일/건과,토마토,70020414
59,70,2,4,15,식품,신선식품/가공식품,과일/건과,바나나,70020415
60,70,2,4,16,식품,신선식품/가공식품,과일/건과,메론,70020416
61,70,2,4,17,식품,신선식품/가공식품,과일/건과,단감/홍시/곶감,70020417
62,70,2,4,18,식품,신선식품/가공식품,과일/건과,레몬/자몽,70020418
63,70,2,4,19,식품,신선식품/가공식품,과일/건과,리치/망고,70020419
64,70,2,4,20,식품,신선식품/가공식품,과일/건과,석류,70020420
65,50,1,4,1,생활/건강,생활/건강/욕실/애완,미싱/미싱용품,미싱,50010401
66,50,1,4,2,생활/건강,생활/건강/욕실/애완,미싱/미싱용품,재봉소품,50010402
67,50,1,5,1,생활/건강,생활/건강/욕실/애완,방향/탈취/제습용품,방향제/디퓨져,50010501
68,50,1,5,2,생활/건강,생활/건강/욕실/애완,방향/탈취/제습용품,섬유탈취제/악취제거,50010502
69,50,1,5,3,생활/건강,생활/건강/욕실/애완,방향/탈취/제습용품,제습용품,50010503
70,50,1,5,4,생활/건강,생활/건강/욕실/애완,방향/탈취/제습용품,아로마캔들/향초,50010504
71,50,1,6,1,생활/건강,생활/건강/욕실/애완,보일러/방한/방풍용품,문풍지/바람막이,50010601
72,50,1,6,2,생활/건강,생활/건강/욕실/애완,보일러/방한/방풍용품,방풍비닐/에어캡,50010602
73,50,1,6,3,생활/건강,생활/건강/욕실/애완,보일러/방한/방풍용품,보일러,50010603
74,50,1,6,4,생활/건강,생활/건강/욕실/애완,보일러/방한/방풍용품,온열방석,50010604
75,50,1,6,5,생활/건강,생활/건강/욕실/애완,보일러/방한/방풍용품,핫팩/손난로/방한용품,50010605
